Date,Close/Last,Volume,Open,High,Low
04/02/2026,$255.92,31289370,$254.20,$256.13,$250.65
04/01/2026,$255.63,40059430,$254.08,$256.18,$253.33
03/31/2026,$253.79,49598090,$247.91,$255.48,$247.101
03/30/2026,$246.63,39446210,$250.07,$250.87,$245.51
03/27/2026,$248.80,47900000,$253.90,$255.493,$248.07
03/26/2026,$252.89,41796650,$252.115,$257.00,$250.77
03/25/2026,$252.62,28476670,$254.095,$255.00,$251.60
03/24/2026,$251.64,45152290,$250.35,$254.825,$249.55
03/23/2026,$251.49,40546110,$253.97,$254.60,$250.28
03/20/2026,$247.99,88331080,$247.975,$249.1999,$246.00
03/19/2026,$248.96,34864080,$249.40,$251.83,$247.30
03/18/2026,$249.94,35757870,$252.625,$254.94,$249.00
03/17/2026,$254.23,32361610,$252.955,$255.13,$252.18
03/16/2026,$252.82,32074210,$252.105,$253.885,$249.88
03/13/2026,$250.12,36929990,$255.48,$256.33,$249.52
03/12/2026,$255.76,40794020,$258.66,$258.95,$254.18
03/11/2026,$260.81,26218930,$261.09,$262.13,$259.55
03/10/2026,$260.83,30590770,$257.645,$262.48,$256.95
03/09/2026,$259.88,38218530,$255.69,$261.15,$253.6805
03/06/2026,$257.46,41120040,$258.63,$258.77,$254.37
03/05/2026,$260.29,49658630,$260.79,$261.555,$257.25
03/04/2026,$262.52,39803120,$264.65,$266.15,$261.42
03/03/2026,$263.75,38568920,$263.48,$265.56,$260.13
03/02/2026,$264.72,41827950,$262.41,$266.53,$260.20
02/27/2026,$264.18,72366510,$272.81,$272.81,$262.89
02/26/2026,$272.95,32345110,$274.945,$276.11,$270.795
02/25/2026,$274.23,33714340,$271.78,$274.94,$271.05
02/24/2026,$272.14,47014620,$267.86,$274.89,$267.71
02/23/2026,$266.18,37308160,$263.49,$269.43,$263.381
02/20/2026,$264.58,42070500,$258.97,$264.75,$258.16
02/19/2026,$260.58,30845290,$262.60,$264.48,$260.05
02/18/2026,$264.35,34203340,$263.60,$266.82,$262.45
02/17/2026,$263.88,58469090,$258.05,$266.29,$255.54
02/13/2026,$255.78,56290670,$262.01,$262.23,$255.45
02/12/2026,$261.73,81077230,$275.59,$275.72,$260.18
02/11/2026,$275.50,51931280,$274.695,$280.18,$274.45
02/10/2026,$273.68,34376900,$274.885,$275.37,$272.94
02/09/2026,$274.62,44623400,$277.905,$278.20,$271.70
02/06/2026,$278.12,50453410,$277.12,$280.905,$276.925
02/05/2026,$275.91,52977440,$278.13,$279.50,$273.23
02/04/2026,$276.49,90545710,$272.285,$278.95,$272.285
02/03/2026,$269.48,64394660,$269.20,$271.875,$267.61
02/02/2026,$270.01,73913430,$260.03,$270.49,$259.205
01/30/2026,$259.48,92443410,$255.165,$261.8999,$252.18
01/29/2026,$258.28,67253010,$258.00,$259.65,$254.41
01/28/2026,$256.44,41287970,$257.65,$258.855,$254.51
01/27/2026,$258.27,49648270,$259.17,$261.95,$258.21
01/26/2026,$255.41,55969230,$251.48,$256.56,$249.80
01/23/2026,$248.04,41688980,$247.32,$249.41,$244.68
01/22/2026,$248.35,39708340,$249.20,$251.00,$248.15
01/21/2026,$247.65,54641730,$248.70,$251.56,$245.18
01/20/2026,$246.70,80267520,$252.73,$254.79,$243.42
01/16/2026,$255.53,72142770,$257.90,$258.90,$254.93
01/15/2026,$258.21,39388560,$260.65,$261.04,$257.05
01/14/2026,$259.96,40019420,$259.49,$261.82,$256.71
01/13/2026,$261.05,45730850,$258.72,$261.81,$258.39
01/12/2026,$260.25,45263770,$259.16,$261.30,$256.80
01/09/2026,$259.37,39996970,$259.075,$260.21,$256.22
01/08/2026,$259.04,50419340,$257.02,$259.29,$255.70
01/07/2026,$260.33,48309800,$263.20,$263.68,$259.81
01/06/2026,$262.36,52352090,$267.00,$267.55,$262.12
01/05/2026,$267.26,45647190,$270.64,$271.51,$266.14
01/02/2026,$271.01,37838050,$272.255,$277.84,$269.00
12/31/2025,$271.86,27293640,$273.06,$273.68,$271.75
12/30/2025,$273.08,22139620,$272.81,$274.08,$272.28
12/29/2025,$273.76,23715210,$272.69,$274.36,$272.35
12/26/2025,$273.40,21521800,$274.16,$275.37,$272.86
12/24/2025,$273.81,17910570,$272.34,$275.43,$272.195
12/23/2025,$272.36,29642000,$270.84,$272.50,$269.56
12/22/2025,$270.97,36571830,$272.86,$273.88,$270.505
12/19/2025,$273.67,144632000,$272.145,$274.60,$269.90
12/18/2025,$272.19,51630720,$273.605,$273.63,$266.95
12/17/2025,$271.84,50138740,$275.01,$276.16,$271.64
12/16/2025,$274.61,37648630,$272.82,$275.50,$271.79
12/15/2025,$274.11,50409080,$280.15,$280.15,$272.84
12/12/2025,$278.28,39532890,$277.90,$279.22,$276.82
12/11/2025,$278.03,33247990,$279.095,$279.59,$273.81
12/10/2025,$278.78,33038320,$277.75,$279.75,$276.44
12/09/2025,$277.18,32193260,$278.16,$280.03,$276.92
12/08/2025,$277.89,38211830,$278.13,$279.6693,$276.15
12/05/2025,$278.78,47265850,$280.54,$281.14,$278.05
12/04/2025,$280.70,43989060,$284.095,$284.73,$278.59
12/03/2025,$284.15,43538690,$286.20,$288.62,$283.30
12/02/2025,$286.19,53669530,$283.00,$287.40,$282.6301
12/01/2025,$283.10,46587720,$278.01,$283.42,$276.14
11/28/2025,$278.85,20135620,$277.26,$279.00,$275.9865
11/26/2025,$277.55,33431420,$276.96,$279.53,$276.63
11/25/2025,$276.97,46914220,$275.27,$280.38,$275.25
11/24/2025,$275.92,65585800,$270.90,$277.00,$270.90
11/21/2025,$271.49,59030830,$265.95,$273.33,$265.67
11/20/2025,$266.25,45823570,$270.83,$275.43,$265.92
11/19/2025,$268.56,40424490,$265.525,$272.21,$265.50
11/18/2025,$267.44,45677280,$269.99,$270.71,$265.32
11/17/2025,$267.46,45018260,$268.815,$270.49,$265.73
11/14/2025,$272.41,47431330,$271.05,$275.96,$269.60
